Program launched in profiler mode on the tracee2 tracee.
Detected profiler mode
Tracee path = tracee2
Address of main = 804889c
806fc78 | 83 | e083
806fc7b | 83 | f083
806fc7e | 77 | 2077
806fc80 | ff | 20ff
806fef8 | 33 | 7033
806fefb | 83 | 83
806feff | e9 | 90e9
806fca0 | 83 | c083
806fca3 | 8b | 108b
806fca5 | 85 | d085
806fca7 | 75 | c075
806fc78 | 83 | e083
806fc7b | 83 | f083
806fc7e | 77 | 2077
806fc80 | ff | 20ff
806feb8 | 33 | 7033
806febb | 83 | 83
806febf | e9 | d0e9
806fca0 | 83 | c083
806fca3 | 8b | 108b
806fca5 | 85 | d085
806fca7 | 75 | c075
806fc78 | 83 | e083
806fc7b | 83 | f083
806fc7e | 77 | 2077
806fc80 | ff | 20ff
806fea8 | 33 | 5033
806feab | 83 | 83
806feaf | e9 | e0e9
806fca0 | 83 | c083
806fca3 | 8b | 108b
806fca5 | 85 | d085
806fca7 | 75 | c075
806fc78 | 83 | e083
806fc7b | 83 | f083
806fc7e | 77 | 2077
806fc80 | ff | 20ff
806fe98 | 33 | 5033
806fe9b | 83 | 83
806fe9f | e9 | f0e9
806fca0 | 83 | c083
806fca3 | 8b | 108b
806fca5 | 85 | d085
806fca7 | 75 | c075
806fc78 | 83 | e083
806fc7b | 83 | f083
806fc7e | 77 | 2077
806fc80 | ff | 20ff
806fe08 | 8b | 408b
806fe0b | c6 | 40c6
806fe10 | c7 | 40c7
806fe18 | c6 | 40c6
806fe1d | c7 | c7
806fe24 | 89 | 4089
806fe28 | e9 | 70e9
806fca0 | 83 | c083
806fca3 | 8b | 108b
806fca5 | 85 | d085
806fca7 | 75 | c075
806fc78 | 83 | e083
806fc7b | 83 | f083
806fc7e | 77 | 2077
806fc80 | ff | 20ff
806fdf0 | 8b | 408b
806fdf3 | c6 | 40c6
806fdf8 | 89 | 4089
806fdfc | e9 | 90e9
806fca0 | 83 | c083
806fca3 | 8b | 108b
806fca5 | 85 | d085
806fca7 | 75 | c075
806fc78 | 83 | e083
806fc7b | 83 | f083
806fc7e | 77 | 2077
806fc80 | ff | 20ff
806fca0 | 83 | c083
806fca3 | 8b | 108b
806fca5 | 85 | d085
806fca7 | 75 | c075
806fc78 | 83 | e083
806fc7b | 83 | f083
806fc7e | 77 | 2077
806fc80 | ff | 20ff
806fe80 | 8b | 408b
806fe83 | c6 | 40c6
806fe88 | 89 | 4089
806fe8c | e9 | e9
806fca0 | 83 | c083
806fca3 | 8b | 108b
806fca5 | 85 | d085
806fca7 | 75 | c075
806fca9 | 89 | f089
806fcab | 8b | 8b
806fcae | 84 | c084
806fcb0 | f | 800f
806ff1d | 89 | 2089
806ff23 | e9 | 80e9
806fcb6 | 80 | 7080
806fcbb | 74 | 74
806fcbd | 8b | 408b
806fcc1 | a3 | 90a3
806fcc6 | 80 | 7080
806fccb | 74 | 74
806fccd | 8b | 408b
806fcd1 | a3 | 90a3
806fcd6 | 80 | 7080
806fcdb | 74 | 74
806fcdd | 8b | 408b
806fce1 | a3 | b0a3
806fce6 | 80 | 7080
806fceb | 74 | 74
806fced | 8b | 408b
806fcf1 | a3 | 80a3
806fcf6 | 80 | 7080
806fcfb | 74 | 1074
806fcfd | 8b | 408b
806fd01 | 8b | 508b
806fd05 | a3 | 50a3
